,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified","Jan. 31, 2014","Feb. 01, 2013","Feb. 03, 2012"
0,Consolidated Statements of Earnings,,,
1,Net sales,"$ 53,417","$ 50,521","$ 50,208"
2,Cost of sales,34941,33194,32858
3,Gross margin,18476,17327,17350
4,Expenses:,,,
5,"Selling, general and administrative",12865,12244,12593
6,Depreciation,1462,1523,1480
7,Interest - net,476,423,371
8,Total expenses,14803,14190,14444
9,Pre-tax earnings,3673,3137,2906
10,Income tax provision,1387,1178,1067
11,Net earnings,"$ 2,286","$ 1,959","$ 1,839"
12,Basic earnings per common share,$ 2.14,$ 1.69,$ 1.43
13,Diluted earnings per common share,$ 2.14,$ 1.69,$ 1.43
14,Cash dividends per share,$ 0.70,$ 0.62,$ 0.53
