,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified","Jun. 29, 2014","Jun. 30, 2013","Jun. 24, 2012"
0,Revenue,"$ 4,607,309","$ 3,598,916","$ 2,665,192"
1,Cost of goods sold,2599828,2195857,1581123
2,Gross margin,2007481,1403059,1084069
3,Research and development,716471,683688,444559
4,"Selling, general and administrative",613341,601300,401777
5,Total operating expenses,1329812,1284988,846336
6,Operating income,677669,118071,237733
7,Gain on sale of real estate,83090,0,0
8,"Other expense, net","(37,396)","(51,413)","(33,315)"
9,Income before income taxes,723363,66658,204418
10,Income tax expense (benefit),91074,"(47,221)",35695
11,Net income,"$ 632,289","$ 113,879","$ 168,723"
12,Net income per share:,,,
13,Basic net income per share,$ 3.84,$ 0.67,$ 1.36
14,Diluted net income per share,$ 3.62,$ 0.66,$ 1.35
15,Number of shares used in per share calculations:,,,
16,Basic,164741,168932,124176
17,Diluted,174503,173430,125233
