,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands",3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2019","Sep. 30, 2019","Jun. 30, 2019","Mar. 31, 2019","Dec. 31, 2018","Sep. 30, 2018","Jun. 30, 2018","Mar. 31, 2018","Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017"
0,Income Statement [Abstract],,,,,,,,,,,
1,Net Sales,"$ 1,473,705","$ 1,481,557","$ 860,063","$ 689,246","$ 1,524,281","$ 1,437,451","$ 844,706","$ 708,372","$ 4,504,571","$ 4,514,810","$ 4,881,493"
2,Cost of sales,760527,795130,518679,449456,814687,824395,587546,489499,2523792,2716127,3056922
3,Gross Profit,713178,686427,341384,239790,709594,613056,257160,218873,1980779,1798683,1824571
4,Advertising and promotion expenses,227184,170379,84489,69465,205750,165308,82393,70837,551517,524288,642286
5,Other selling and administrative expenses,418414,365961,308311,297336,398253,325874,360000,424617,1390022,1508744,1517983
6,Operating Income (Loss),67580,150087,"(51,416)","(127,011)",105591,121874,"(185,233)","(276,581)",39240,"(234,349)","(335,698)"
7,Interest expense,,,,,,,,,201044,181886,105214
8,Interest (income),,,,,,,,,"(6,166)","(6,463)","(7,777)"
9,"Other non-operating expense, net",,,,,,,,,2650,7331,68110
10,Loss Before Income Taxes,9182,101955,"(95,824)","(173,601)",54274,72592,"(230,064)","(313,905)","(158,288)","(417,103)","(501,245)"
11,Provision for income taxes,,,,,,,,,55224,116196,553334
12,Net Loss,$ 175,"$ 70,596","$ (107,987)","$ (176,296)","$ 9,639","$ 6,278","$ (237,963)","$ (311,253)","$ (213,512)","$ (533,299)","$ (1,054,579)"
13,Net Loss Per Common Share - Basic (USD per share),$ 0.00,$ 0.20,$ (0.31),$ (0.51),$ 0.03,$ 0.02,$ (0.69),$ (0.90),$ (0.62),$ (1.55),$ (3.07)
14,Weighted average number of common shares (in shares),346727,346698,345941,345852,345720,345285,344584,344434,346127,345012,343564
15,Net Loss Per Common Share - Diluted (USD per share),$ 0.00,$ 0.20,$ (0.31),$ (0.51),$ 0.03,$ 0.02,$ (0.69),$ (0.90),$ (0.62),$ (1.55),$ (3.07)
16,Weighted average number of common and potential common shares (in shares),348268,348487,345941,345852,345846,345672,344584,344434,346127,345012,343564
