,0,1,2,3,4,5
0,[1],"Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.",,,,
1,Consolidated Statements of Earnings - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements of Earnings - USD ($)  $ in Millions,"Dec. 31, 2022","Dec. 31, 2021","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2020"
3,Income Statement [Abstract],,,,,
4,Net revenues,"$ 31,496","$ 28,720",[1],"$ 26,581",[1]
5,Cost of sales,20184,17466,,16135,
6,Gross profit,11312,11254,,10446,
7,"Selling, general and administrative expenses",7384,6263,,6098,
8,Asset impairment and exit costs,262,212,,301,
9,Net gain on acquisition and divestitures,0,(8),,0,
10,Amortization of intangible assets,132,134,,194,
11,Operating income,3534,4653,,3853,
12,Benefit plan non-service income,(117),(163),,(138),
13,"Interest and other expense, net",423,447,,608,
14,Earnings before income taxes,3228,4369,,3383,
15,Income tax provision,(865),"(1,190)",,"(1,224)",
16,Gain/(loss) on equity method investment transactions,(22),742,,989,
17,Equity method investment net earnings,385,393,,421,
18,Net earnings,2726,4314,,3569,
19,Noncontrolling interest earnings,(9),(14),,(14),
20,Net earnings attributable to Mondelēz International,"$ 2,717","$ 4,300",,"$ 3,555",
21,Per share data:,,,,,
22,Basic earnings per share attributable to Mondelēz International (in dollars per share),$ 1.97,$ 3.06,,$ 2.48,
23,Diluted earnings per share attributable to Mondelēz International (in dollars per share),$ 1.96,$ 3.04,,$ 2.47,
24,,,,,,
25,"[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.","[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.","[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.","[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.","[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation.","[1] Our snack product categories include biscuits & baked snacks, chocolate and gum & candy. During the first quarter of 2022, we realigned some of our products between our biscuits & baked snacks and chocolate categories; as such, we reclassified the product category net revenues on a basis consistent with the 2022 presentation."
