,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2011"
0,Net revenues,"$ 35,299","$ 35,015","$ 35,810"
1,Cost of sales,22189,21939,22710
2,Gross profit,13110,13076,13100
3,"Selling, general and administrative expenses",8679,9176,9382
4,Asset impairment and exit costs,273,153,(5)
5,"Gains on acquisition and divestitures, net",(30),(107),
6,Amortization of intangibles,217,217,225
7,Operating income,3971,3637,3498
8,"Interest and other expense, net",1579,1863,1618
9,Earnings from continuing operations before income taxes,2392,1774,1880
10,Provision for income taxes,60,168,116
11,Earnings from continuing operations,2332,1606,1764
12,"Earnings from discontinued operations, net of income taxes",1603,1488,1810
13,Net earnings,3935,3094,3574
14,Noncontrolling interest,20,27,20
15,Net earnings attributable to Mondelez International,"$ 3,915","$ 3,067","$ 3,554"
16,Basic earnings per share attributable to Mondelez International:,,,
17,Continuing operations,$ 1.30,$ 0.90,$ 0.99
18,Discontinued operations,$ 0.91,$ 0.83,$ 1.02
19,Net earnings attributable to Mondelez International,$ 2.21,$ 1.73,$ 2.01
20,Diluted earnings per share attributable to Mondelez International:,,,
21,Continuing operations,$ 1.29,$ 0.88,$ 0.99
22,Discontinued operations,$ 0.90,$ 0.83,$ 1.02
23,Net earnings attributable to Mondelez International,$ 2.19,$ 1.71,$ 2.01
24,Dividends declared,$ 0.54,$ 1.00,$ 1.16
