,0,1,2,3,4
0,[1],"In 2015, our consolidated net revenues included Venezuela net revenues of $763 million in biscuits, $340 million in cheese & grocery, $66 million in gum & candy and $48 million in beverages. Following the deconsolidation of our Venezuela operations at the end of 2015, our 2016 and 2017 consolidated net revenues no longer include the net revenues of our Venezuelan subsidiaries. Refer to Note 1, Summary of Significant Accounting Policies - Currency Translation and Highly Inflationary Accounting: Venezuela, for more information.",,,
1,Consolidated Statements of Earnings - USD ($)  $ in Millions,Consolidated Statements of Earnings - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements of Earnings - USD ($)  $ in Millions,Consolidated Statements of Earnings - USD ($)  $ in Millions,"Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015"
3,Net revenues,[1],"$ 25,896","$ 25,923","$ 29,636"
4,Cost of sales,,15831,15795,18124
5,Gross profit,,10065,10128,11512
6,"Selling, general and administrative expenses",,5911,6540,7577
7,Asset impairment and exit costs,,656,852,901
8,Net gain on divestitures,,(186),(9),"(6,822)"
9,Loss on deconsolidation of Venezuela,,0,0,778
10,Amortization of intangibles,,178,176,181
11,Operating income,,3506,2569,8897
12,"Interest and other expense, net",,382,1115,1013
13,Earnings before income taxes,,3124,1454,7884
14,Provision for income taxes,,(688),(129),(593)
15,Gain on equity method investment transactions,,40,43,0
16,Equity method investment net earnings,,460,301,0
17,Net earnings,,2936,1669,7291
18,Noncontrolling interest earnings,,(14),(10),(24)
19,Net earnings attributable to Mondelez International,,"$ 2,922","$ 1,659","$ 7,267"
20,Per share data:,,,,
21,Basic earnings per share attributable to Mondelez International,,$ 1.93,$ 1.07,$ 4.49
22,Diluted earnings per share attributable to Mondelez International,,1.91,1.05,4.44
23,Dividends declared,,$ 0.82,$ 0.72,$ 0.64
24,,,,,
25,"[1] In 2015, our consolidated net revenues included Venezuela net revenues of $763 million in biscuits, $340 million in cheese & grocery, $66 million in gum & candy and $48 million in beverages. Following the deconsolidation of our Venezuela operations at the end of 2015, our 2016 and 2017 consolidated net revenues no longer include the net revenues of our Venezuelan subsidiaries. Refer to Note 1, Summary of Significant Accounting Policies - Currency Translation and Highly Inflationary Accounting: Venezuela, for more information.","[1] In 2015, our consolidated net revenues included Venezuela net revenues of $763 million in biscuits, $340 million in cheese & grocery, $66 million in gum & candy and $48 million in beverages. Following the deconsolidation of our Venezuela operations at the end of 2015, our 2016 and 2017 consolidated net revenues no longer include the net revenues of our Venezuelan subsidiaries. Refer to Note 1, Summary of Significant Accounting Policies - Currency Translation and Highly Inflationary Accounting: Venezuela, for more information.","[1] In 2015, our consolidated net revenues included Venezuela net revenues of $763 million in biscuits, $340 million in cheese & grocery, $66 million in gum & candy and $48 million in beverages. Following the deconsolidation of our Venezuela operations at the end of 2015, our 2016 and 2017 consolidated net revenues no longer include the net revenues of our Venezuelan subsidiaries. Refer to Note 1, Summary of Significant Accounting Policies - Currency Translation and Highly Inflationary Accounting: Venezuela, for more information.","[1] In 2015, our consolidated net revenues included Venezuela net revenues of $763 million in biscuits, $340 million in cheese & grocery, $66 million in gum & candy and $48 million in beverages. Following the deconsolidation of our Venezuela operations at the end of 2015, our 2016 and 2017 consolidated net revenues no longer include the net revenues of our Venezuelan subsidiaries. Refer to Note 1, Summary of Significant Accounting Policies - Currency Translation and Highly Inflationary Accounting: Venezuela, for more information.",
