,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2011"
0,Revenues,,,
1,Casino,"$ 5,875,782","$ 5,319,489","$ 4,002,985"
2,Rooms,1646303,1588770,1547765
3,Food and beverage,1469582,1472382,1425428
4,Entertainment,522911,483946,514883
5,Retail,194602,196938,204806
6,Other,490349,482547,485661
7,Reimbursed costs,364664,357597,351207
8,"Total revenues, gross",10564193,9901669,8532735
9,Less: Promotional allowances,"(754,530)","(740,825)","(683,423)"
10,"Total revenues, net",9809663,9160844,7849312
11,Expenses,,,
12,Casino,3684810,3396752,2515279
13,Rooms,516605,507856,485751
14,Food and beverage,844431,844629,829018
15,Entertainment,386252,356934,375559
16,Retail,107249,112732,124063
17,Other,354705,344782,345484
18,Reimbursed costs,364664,357597,351207
19,General and administrative,1278450,1239774,1182505
20,Corporate expense,216745,235007,174971
21,Preopening and start-up expenses,13314,2127,(316)
22,"Property transactions, net",124761,708049,178598
23,Gain on MGM China transaction,,,"(3,496,005)"
24,Depreciation and amortization,849225,927697,817146
25,Total expenses,8741211,9033936,3883260
26,Income (loss) from unconsolidated affiliates,43060,"(46,382)",91094
27,Operating income,1111512,80526,4057146
28,Non-operating expense,,,
29,"Interest expense, net of amounts capitalized","(857,347)","(1,116,358)","(1,086,832)"
30,Non-operating items from unconsolidated affiliates,"(157,338)","(90,020)","(119,013)"
31,"Other, net","(9,062)","(608,361)","(19,670)"
32,Total non-operating income (expense),"(1,023,747)","(1,814,739)","(1,225,515)"
33,Income (loss) before income taxes,87765,"(1,734,213)",2831631
34,Benefit (provision) for income taxes,"(31,263)",117301,403313
35,Net income (loss),56502,"(1,616,912)",3234944
36,Less: Net income attributable to noncontrolling interests,"(213,108)","(150,779)","(120,307)"
37,Net income (loss) attributable to MGM Resorts International,"$ (156,606)","$ (1,767,691)","$ 3,114,637"
38,Net income (loss) per share of common stock attributable to MGM Resorts International,,,
39,Basic,$ (0.32),$ (3.62),$ 6.37
40,Diluted,$ (0.32),$ (3.62),$ 5.62
