,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,Income Statement [Abstract],,,
1,Net sales,"$ 11,135,115","$ 11,737,065","$ 11,200,613"
2,Cost of sales,8425463,8793639,7931879
3,Gross profit,2709652,2943426,3268734
4,"Selling, general and administrative expenses",2119716,2003438,1933723
5,Impairment of goodwill and indefinite-lived intangibles,877744,695771,0
6,Operating income (loss),"(287,808)",244217,1335011
7,Interest expense,77514,51938,57252
8,"Other (income) expense, net","(10,813)",8386,"(12,234)"
9,Earnings (loss) before income taxes,"(354,509)",183893,1289993
10,Income tax expense,84862,158110,256445
11,Net earnings (loss) including noncontrolling interests,"(439,371)",25783,1033548
12,Less: net earnings attributable to noncontrolling interests,145,536,389
13,"Net earnings (loss) attributable to Mohawk Industries, Inc.","$ (439,516)","$ 25,247","$ 1,033,159"
14,"Basic earnings (loss) per share attributable to Mohawk Industries, Inc.",,,
15,"Basic earnings per share attributable to Mohawk Industries, Inc. (usd per share)",$ (6.90),$ 0.40,$ 15.01
16,Weighted-average common shares outstanding—basic (in shares),63657,63826,68852
17,"Diluted earnings (loss) per share attributable to Mohawk Industries, Inc.",,,
18,"Diluted earnings per share attributable to Mohawk Industries, Inc. (usd per share)",$ (6.90),$ 0.39,$ 14.94
19,Weighted-average common shares outstanding—diluted (in shares),63657,64062,69145
