,0,1,2,3,4,5,6
0,[1],"The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.",,,,,
1,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Operations (USD $) In Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011"
3,Income Statement [Abstract],,,,,,
4,Net sales,"$ 7,348,754",[1],"$ 5,787,980",[1],"$ 5,642,258",[1]
5,Cost of sales,5427945,,4297922,,4225379,
6,Gross profit,1920809,,1490058,,1416879,
7,"Selling, general and administrative expenses",1373878,,1110550,,1101337,
8,Operating income,546931,,379508,,315542,
9,Interest expense,92246,,74713,,101617,
10,Other expense,9114,,303,,14051,
11,Earnings from continuing operations before income taxes,445571,,304492,,199874,
12,Income tax expense,78385,,53599,,21649,
13,Earnings from continuing operations,367186,,250893,,178225,
14,"Loss from discontinued operations, net of income tax benefit of $1,050","(17,895)",,0,,0,
15,Net earnings including noncontrolling interest,349291,,250893,,178225,
16,Net earnings attributable to noncontrolling interest,505,,635,,4303,
17,"Net earnings attributable to Mohawk Industries, Inc.","$ 348,786",,"$ 250,258",,"$ 173,922",
18,"Basic earnings per share attributable to Mohawk Industries, Inc.",,,,,,
19,Income from continuing operations,$ 5.11,,$ 3.63,,$ 2.53,
20,Loss from discontinued operations,$ (0.25),,$ 0.00,,$ 0.00,
21,"Basic earnings per share attributable to Mohawk Industries, Inc.",$ 4.86,,$ 3.63,,$ 2.53,
22,"Weighted Average Number of Shares Outstanding, Basic",71773,,68988,,68736,
23,"Diluted earnings per share attributable to Mohawk Industries, Inc.",,,,,,
24,Income from continuing operations,$ 5.07,,$ 3.61,,$ 2.52,
25,Loss from discontinued operations,$ (0.25),,$ 0.00,,$ 0.00,
26,"Diluted earnings per share attributable to Mohawk Industries, Inc.",$ 4.82,,$ 3.61,,$ 2.52,
27,Weighted-average common shares outstanding—diluted,72301,,69306,,68964,
28,,,,,,,
29,"[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing.","[1]  The Soft surface product category includes carpets, rugs, carpet pad and resilient. The Tile product category includes ceramic tile, porcelain tile and natural stone. The Wood product category includes laminate, hardwood, roofing elements, insulation boards, MDF, chipboards, other wood-based products and licensing."
