,"Consolidated Statements of Earnings (USD $) Share data in Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings (USD $) Share data in Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Net Sales,"$ 1,838,723,000","$ 1,519,883,000","$ 1,475,638,000"
1,Freight and delivery revenues,198944000,193862000,177168000
2,Total revenues,2037667000,1713745000,1652806000
3,Cost of sales,1512807000,1217911000,1153987000
4,Freight and delivery costs,198944000,193862000,177168000
5,Total cost of revenues,1711751000,1411773000,1331155000
6,Gross Profit,325916000,301972000,321651000
7,"Selling, general and administrative expenses",138398000,124138000,130422000
8,Business development costs,35140000,18575000,1220000
9,"Other operating (income) and expenses, net","(2,575,000)","(1,720,000)","(8,298,000)"
10,Earnings from Operations,154953000,160979000,198307000
11,Interest expense,53339000,58586000,68440000
12,"Other nonoperating (income) and expenses, net","(1,299,000)",1834000,198000
13,Earnings from continuing operations before taxes on income,102913000,100559000,129669000
14,Taxes on income,16950000,20987000,30913000
15,Earnings from Continuing Operations,85963000,79572000,98756000
16,"(Loss) gain on discontinued operations, net of related tax (benefit) expense of $(320), $2,207 and $(1,570), respectively","(436,000)",4001000,"(92,000)"
17,Consolidated net earnings,85527000,83573000,98664000
18,Less: Net earnings attributable to noncontrolling interests,1053000,1194000,1652000
19,"Net Earnings Attributable to Martin Marietta Materials, Inc.",84474000,82379000,97012000
20,"Net Earnings (Loss) Attributable to Martin Marietta Materials, Inc.",,,
21,Earnings from continuing operations,84910000,78378000,97104000
22,Discontinued operations,"(436,000)",4001000,"(92,000)"
23,"Net Earnings Attributable to Martin Marietta Materials, Inc.",84474000,82379000,97012000
24,Per Common Share (See Note A),,,
25,Basic from continuing operations attributable to common shareholders,$ 1.84,$ 1.70,$ 2.11
26,Discontinued operations attributable to common shareholders,$ (0.01),$ 0.09,
27,"Earnings Per Share, Basic, Total",$ 1.83,$ 1.79,$ 2.11
28,Diluted from continuing operations attributable to common shareholders,$ 1.84,$ 1.69,$ 2.10
29,Discontinued operations attributable to common shareholders,$ (0.01),$ 0.09,
30,"Earnings Per Share, Diluted, Total",$ 1.83,$ 1.78,$ 2.10
31,"Net Earnings (Loss) Attributable to Martin Marietta Materials, Inc.",,,
32,Earnings from continuing operations,84910000,78378000,97104000
33,Discontinued operations,"(436,000)",4001000,"(92,000)"
34,"Net Earnings Attributable to Martin Marietta Materials, Inc.","$ 84,474,000","$ 82,379,000","$ 97,012,000"
35,Per Common Share (See Note A),,,
36,Basic from continuing operations attributable to common shareholders,$ 1.84,$ 1.70,$ 2.11
37,Discontinued operations attributable to common shareholders,$ (0.01),$ 0.09,
38,"Earnings Per Share, Basic, Total",$ 1.83,$ 1.79,$ 2.11
39,Diluted from continuing operations attributable to common shareholders,$ 1.84,$ 1.69,$ 2.10
40,Discontinued operations attributable to common shareholders,$ (0.01),$ 0.09,
41,"Earnings Per Share, Diluted, Total",$ 1.83,$ 1.78,$ 2.10
42,Weighted-Average Common Shares Outstanding,,,
43,Basic,45828,45652,45485
44,Diluted,45970,45793,45659
