,"Consolidated Statement of Income (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statement of Income (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2009"
0,Net sales,"$ 29,611","$ 26,662","$ 23,123"
1,Operating expenses,,,
2,Cost of sales,15693,13831,12109
3,"Selling, general and administrative expenses",6170,5479,4907
4,"Research, development and related expenses",1570,1434,1293
5,Total operating expenses,23433,20744,18309
6,Operating income,6178,5918,4814
7,Interest expense and income,,,
8,Interest expense,186,201,219
9,Interest income,(39),(38),(37)
10,Total interest expense - net,147,163,182
11,Income before income taxes,6031,5755,4632
12,Provision for income taxes,1674,1592,1388
13,Net income including noncontrolling interest,4357,4163,3244
14,Less: Net income attributable to noncontrolling interest,74,78,51
15,Net income attributable to 3M,"$ 4,283","$ 4,085","$ 3,193"
16,Weighted average 3M common shares outstanding - basic (in shares),708.5,713.7,700.5
17,Earnings per share attributable to 3M common shareholders - basic (in dollars per share),$ 6.05,$ 5.72,$ 4.56
18,Weighted average 3M common shares outstanding - diluted (in shares),719.0,725.5,706.7
19,Earnings per share attributable to 3M common shareholders - diluted (in dollars per share),$ 5.96,$ 5.63,$ 4.52
20,Cash dividends paid per 3M common share (in dollars per share),$ 2.20,$ 2.10,$ 2.04
