,Consolidated Statements of Earnings - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Earnings - USD ($)  $ in Millions,"Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,Income Statement [Abstract],,,
1,Net revenues,"$ 24,483","$ 25,096","$ 26,013"
2,Cost of sales,6218,6442,7119
3,Excise taxes on products,3981,4408,4902
4,Gross profit,14284,14246,13992
5,"Marketing, administration and research costs",2737,2327,2432
6,Operating income,11547,11919,11560
7,"Interest and other debt expense, net",989,1058,1162
8,Loss on early extinguishment of debt,0,0,649
9,"Net periodic benefit income, excluding service cost",(127),(184),(202)
10,(Income) losses from investments in equity securities,(243),3641,5979
11,Loss on Cronos-related financial instruments,0,15,148
12,Earnings before income taxes,10928,7389,3824
13,Provision for income taxes,2798,1625,1349
14,Net earnings,"$ 8,130","$ 5,764","$ 2,475"
15,Per share data:,,,
16,Basic earnings per share attributable to Altria (in usd per share),$ 4.57,$ 3.19,$ 1.34
17,Diluted earnings per share attributable to Altria (in usd per share),$ 4.57,$ 3.19,$ 1.34
