,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
0,Net sales,"$ 12,357.4","$ 8,681.7","$ 8,906.3"
1,Cost of goods sold,9157.1,7616.8,8009.0
2,Gross margin,3200.3,1064.9,897.3
3,"Selling, general and administrative expenses",430.5,371.5,354.1
4,"Restructuring and related cost, incurred costs",158.1,0.0,1462.1
5,Other operating expenses,143.2,280.5,176.0
6,Operating (loss) earnings,2468.5,412.9,"(1,094.9)"
7,"Interest expense, net",(169.1),(180.6),(182.9)
8,Foreign currency transaction (loss) gain,(78.5),(64.3),20.2
9,Other income,3.9,12.9,1.5
10,"Income (Loss) from Continuing Operations before Equity Method Investments, Income Taxes, Noncontrolling Interest",2224.8,180.9,"(1,256.1)"
11,Provision for (benefit from) income taxes,597.7,(578.5),(224.7)
12,Earnings (loss) from consolidated companies,1627.1,759.4,"(1,031.4)"
13,Equity in net earnings (loss) of nonconsolidated companies,7.8,(93.8),(59.4)
14,Net earnings (loss) including noncontrolling interests,1634.9,665.6,"(1,090.8)"
15,Less: Net earnings (loss) attributable to noncontrolling interests,4.3,(0.5),(23.4)
16,Net earnings (loss) attributable to Mosaic,"$ 1,630.6",$ 666.1,"$ (1,067.4)"
17,Basic net earnings (loss) per share attributable to Mosaic,$ 4.31,$ 1.76,$ (2.78)
18,Basic weighted average number of shares outstanding (in shares),378.1,379.0,383.8
19,Diluted net earnings (loss) per share attributable to Mosaic,$ 4.27,$ 1.75,$ (2.78)
20,Diluted weighted average number of shares outstanding (in shares),381.6,381.3,383.8
