,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Millions, except Per Share data, unless otherwise specified","Aug. 30, 2012","Sep. 01, 2011","Sep. 02, 2010"
0,Income Statement [Abstract],,,
1,Net sales,"$ 8,234","$ 8,788","$ 8,482"
2,Cost of goods sold,7266,7030,5768
3,Gross margin,968,1758,2714
4,"Selling, general and administrative",620,592,528
5,Research and development,918,791,624
6,"Other operating (income) expense, net",48,(380),(27)
7,Operating income (loss),(618),755,1589
8,Interest income,8,23,18
9,Interest expense,(179),(124),(178)
10,Gain on acquisition of Numonyx,0,0,437
11,"Other non-operating income (expense), net",35,(103),54
12,Total income (loss) before income taxes,(754),551,1920
13,Income tax provision,17,(203),19
14,Equity in net loss of equity method investees,(294),(158),(39)
15,Net income (loss),"(1,031)",190,1900
16,Net income attributable to noncontrolling interests,(1),(23),(50)
17,Net income (loss) attributable to Micron,"$ (1,032)",$ 167,"$ 1,850"
18,Earnings (loss) per share:,,,
19,Basic (in dollars per share),$ (1.04),$ 0.17,$ 2.09
20,Diluted (in dollars per share),$ (1.04),$ 0.17,$ 1.85
21,Number of shares used in per share calculations:,,,
22,Basic (in shares),991.2,988.0,887.5
23,Diluted (in shares),991.2,1007.5,1050.7
