,"Consolidated Statements of Income (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income (USD $) In Millions, except Per Share data","Dec. 31, 2009","Dec. 31, 2009.1","Dec. 31, 2008","Dec. 31, 2008.1","Dec. 31, 2007","Dec. 31, 2007.1"
0,Railway operating revenues,"$ 7,969","$ 7,969","$ 10,661","$ 10,661","$ 9,432","$ 9,432"
1,Railway operating expenses:,,,,,,
2,Compensation and benefits,2401,2401,2684,2684,2552,2552
3,Purchased services and rents,1403,1403,1599,1599,1551,1551
4,Fuel,725,725,1638,1638,1169,1169
5,Depreciation,837,837,804,804,775,775
6,Materials and other,641,641,852,852,800,800
7,Total railway operating expenses,6007,6007,7577,7577,6847,6847
8,Income from railway operations,1962,1962,3084,3084,2585,2585
9,Other income - net,127,127,110,110,93,93
10,Interest expense on debt,467,467,444,444,441,441
11,Income before income taxes,1622,1622,2750,2750,2237,2237
12,Provision for income taxes,588,588,1034,1034,773,773
13,Net income,"$ 1,034","$ 1,034","$ 1,716","$ 1,716","$ 1,464","$ 1,464"
14,Per share amounts,,,,,,
15,Basic,$ 2.79,$ 2.79,$ 4.58,$ 4.58,$ 3.73,$ 3.73
16,Diluted,$ 2.76,$ 2.76,$ 4.52,$ 4.52,$ 3.68,$ 3.68
