,Consolidated Statements of Income - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Income - USD ($)  $ in Millions,"Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
0,Income Statement [Abstract],,,
1,Railway operating revenues,"$ 11,142","$ 9,789","$ 11,296"
2,Railway operating expenses,,,
3,Compensation and benefits,2442,2373,2751
4,Purchased services and rents,1726,1687,1725
5,Fuel,799,535,953
6,Depreciation,1181,1154,1138
7,Materials and other,547,653,740
8,Loss on asset disposal,0,385,0
9,Total railway operating expenses,6695,6787,7307
10,Income from railway operations,4447,3002,3989
11,Other income – net,77,153,106
12,Interest expense on debt,646,625,604
13,Income before income taxes,3878,2530,3491
14,Income taxes,873,517,769
15,Net income,"$ 3,005","$ 2,013","$ 2,722"
16,Earnings per share,,,
17,Basic (in dollars per share),$ 12.16,$ 7.88,$ 10.32
18,Diluted (in dollars per share),$ 12.11,$ 7.84,$ 10.25
