,Consolidated Statements of Operations - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Operations - USD ($)  $ in Millions,"Jun. 30, 2023","Jun. 30, 2022","Jun. 30, 2021"
0,Revenues:,,,
1,Revenues,"$ 9,879","$ 10,385","$ 9,358"
2,Total Revenues,9879,10385,9358
3,Operating expenses,"(5,124)","(5,124)","(4,831)"
4,"Selling, general and administrative","(3,335)","(3,592)","(3,254)"
5,Depreciation and amortization,(714),(688),(680)
6,Impairment and restructuring charges,(150),(109),(168)
7,Equity losses of affiliates,(127),(13),(65)
8,"Interest expense, net",(100),(99),(53)
9,"Other, net",1,52,143
10,Income before income tax expense,330,812,450
11,Income tax expense,(143),(52),(61)
12,Net income,187,760,389
13,Less: Net income attributable to noncontrolling interests,(38),(137),(59)
14,Net income attributable to News Corporation stockholders,$ 149,$ 623,$ 330
15,Net income attributable to News Corporation stockholders per share:,,,
16,Basic (in dollars per share),$ 0.26,$ 1.06,$ 0.56
17,Diluted (in dollars per share),$ 0.26,$ 1.05,$ 0.56
18,Circulation and subscription,,,
19,Revenues:,,,
20,Revenues,"$ 4,447","$ 4,425","$ 4,206"
21,Advertising,,,
22,Revenues:,,,
23,Revenues,1687,1821,1594
24,Consumer,,,
25,Revenues:,,,
26,Revenues,1899,2106,1908
27,Real estate,,,
28,Revenues:,,,
29,Revenues,1189,1347,1153
30,Other,,,
31,Revenues:,,,
32,Revenues,$ 657,$ 686,$ 497
