,0,1,2,3,4
0,[1],The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.,,,
1,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Share data, unless otherwise specified","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2009"
3,REVENUE,,,,
4,Rental,"$ 419,396",,"$ 342,835","$ 321,682"
5,Other,1663,,657,868
6,Total revenue,421059,,343492,322550
7,EXPENSES,,,,
8,Depreciation and amortization,121751,,94907,89902
9,Interest,108301,,93237,85528
10,General and administrative,30954,,25311,20946
11,Property,7436,,7061,6443
12,Income taxes,1470,,1393,677
13,Provisions for impairment,10,,849,199
14,Total expenses,269922,,222758,203695
15,Income from continuing operations,151137,,120734,118855
16,Income from discontinued operations,5895,,10050,12272
17,Net income,157032,,130784,131127
18,Preferred stock cash dividends,"(24,253)",,"(24,253)","(24,253)"
19,Net income available to common stockholders,"$ 132,779",[1],"$ 106,531","$ 106,874"
20,Income from continuing operations:,,,,
21,Basic (in dollars per share),$ 1.01,,$ 0.91,$ 0.91
22,Diluted (in dollars per share),$ 1.01,,$ 0.91,$ 0.91
23,Net income:,,,,
24,Basic (in dollars per share),$ 1.05,,$ 1.01,$ 1.03
25,Diluted (in dollars per share),$ 1.05,,$ 1.01,$ 1.03
26,Weighted average common shares outstanding:,,,,
27,Basic (in shares),126142696,,105869637,103577507
28,Diluted (in shares),126189399,,105942721,103581053
29,,,,,
30,[1]  The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.,[1]  The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.,[1]  The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.,[1]  The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.,[1]  The 2011 information presented is a reconciliation of our net income available to common stockholders to estimated taxable net income.
