,0,1,2,3,4,5
0,[1],Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,,,,
1,"Consolidated Statements of Income and Comprehensive Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Income and Comprehensive Income - USD ($)  shares in Millions, $ in Millions","May 31, 2017","May 31, 2017","May 31, 2016","May 31, 2016","May 31, 2015"
3,Revenue:,,,,,
4,Service revenue,"$ 3,100.7",,"$ 2,905.8",,"$ 2,697.5"
5,Interest on funds held for clients,50.6,,46.1,,42.1
6,Total revenue,3151.3,,2951.9,,2739.6
7,Expenses:,,,,,
8,Operating expenses,919.6,,857.1,,808.0
9,"Selling, general and administrative expenses",992.1,,948.2,,878.0
10,Total expenses,1911.7,,1805.3,,1686.0
11,Operating income,1239.6,,1146.6,,1053.6
12,"Investment income, net",5.2,,4.5,,6.4
13,Income before income taxes,1244.8,,1151.1,,1060.0
14,Income taxes,427.5,,394.3,,385.1
15,Net income,817.3,,756.8,,674.9
16,"Other comprehensive (loss)/income, net of tax:",,,,,
17,"Unrealized (losses)/gains on securities, net of tax",(9.2),,21.7,,(14.0)
18,"Total other comprehensive (loss)/income, net of tax",(9.2),,21.7,,(14.0)
19,Comprehensive income,$ 808.1,,$ 778.5,,$ 660.9
20,Basic earnings per share,$ 2.27,[1],$ 2.10,[1],$ 1.86
21,Diluted earnings per share,$ 2.25,[1],$ 2.09,[1],$ 1.85
22,Weighted-average common shares outstanding,359.8,,360.7,,362.9
23,"Weighted-average common shares outstanding, assuming dilution",362.6,,362.5,,364.6
24,Cash dividends per common share,$ 1.84,,$ 1.68,,$ 1.52
25,,,,,,
26,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.,[1] Each quarter is a discrete period and the sum of the four quarters' basic and diluted earnings per share amounts may not equal the full year amount.
