,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Share data in Thousands, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Share data in Thousands, unless otherwise specified","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2008"
0,Operating Revenues,,,
1,Utility,"$ 3,668","$ 3,902","$ 4,114"
2,Unregulated retail electric and gas,415,152,151
3,Wholesale energy marketing,,,
4,Realized,4832,3184,2138
5,Unrealized economic activity (Note 19),(805),(229),1056
6,Net energy trading margins,2,17,(121)
7,Energy-related businesses,409,423,519
8,Total Operating Revenues,8521,7449,7857
9,Operation,,,
10,Fuel,1235,920,1057
11,Energy purchases,,,
12,Realized,2773,2625,1624
13,Unrealized economic activity (Note 19),(286),155,553
14,Other operation and maintenance,1756,1418,1414
15,Amortization of recoverable transition costs,,304,293
16,Depreciation,556,455,444
17,"Taxes, other than income",238,280,288
18,Energy-related businesses,383,396,481
19,Total Operating Expenses,6655,6553,6154
20,Operating Income (Loss),1866,896,1703
21,Other Income (Expense) - net,(31),47,53
22,Other-Than-Temporary Impairments,3,18,36
23,Interest Expense,593,387,447
24,Income from Continuing Operations Before Income Taxes,1239,538,1273
25,Income Taxes,263,105,396
26,Income from Continuing Operations After Income Taxes,976,433,877
27,Income (Loss) from Discontinued Operations (net of income taxes),(17),(7),73
28,Net Income,959,426,950
29,Net Income Attributable to Noncontrolling Interests,21,19,20
30,Net Income Attributable to PPL Corporation,938,407,930
31,Amounts Attributable to PPL Corporation:,,,
32,Income from Continuing Operations After Income Taxes,955,414,857
33,Income (Loss) from Discontinued Operations (net of income taxes),(17),(7),73
34,Net Income,$ 938,$ 407,$ 930
35,Income from Continuing Operations After Income Taxes Available to PPL Corporation Common Shareowners:,,,
36,Basic (in dollars per share),$ 2.21,$ 1.10,$ 2.28
37,Diluted (in dollars per share),$ 2.20,$ 1.10,$ 2.28
38,Net Income Available to PPL Corporation Common Shareowners:,,,
39,Basic (in dollars per share),$ 2.17,$ 1.08,$ 2.48
40,Diluted (in dollars per share),$ 2.17,$ 1.08,$ 2.47
41,Dividends Declared Per Share of Common Stock (in dollars per share),$ 1.400,$ 1.380,$ 1.340
42,Weighted-Average Shares of Common Stock Outstanding (in thousands),,,
43,Basic (in shares),431345,376082,373626
44,Diluted (in shares),431569,376406,374901
