,"Consolidated Statements of Operations (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Net sales,"$ 7,648.1","$ 5,550.9","$ 4,490.1"
1,Cost of sales,5103.8,3950.6,3237.3
2,Gross profit,2544.3,1600.3,1252.8
3,"Marketing, administrative and development expenses",1785.2,1014.4,699.0
4,Amortization expense of intangible assets acquired,134.0,39.5,11.2
5,Impairment of goodwill and other intangible assets,1892.3,,
6,Costs related to the acquisition and integration of Diversey,7.4,64.8,
7,Restructuring and other charges,142.5,52.2,7.6
8,Operating (loss) profit,"(1,417.1)",429.4,535.0
9,Interest expense,(384.7),(216.6),(161.6)
10,Loss on debt redemption,(36.9),,(38.5)
11,Impairment of equity method investment,(23.5),,
12,Foreign currency exchange (losses) gains related to Venezuelan subsidiaries,(0.4),(0.3),5.5
13,Net gains on sale (other-than-temporary impairment) of available-for-sale securities,,,5.9
14,"Other expense, net",(9.4),(14.5),(2.9)
15,(Loss) earnings from continuing operations before income tax provision,"(1,872.0)",198.0,343.4
16,Income tax (benefit) provision,(261.9),59.5,87.5
17,Net (loss) earnings from continuing operations,"(1,610.1)",138.5,255.9
18,Net earnings from discontinued operations,20.9,10.6,
19,Net gain on sale of discontinued operations,178.9,,
20,Net (loss) earnings available to common stockholders,"$ (1,410.3)",$ 149.1,$ 255.9
21,Basic,,,
22,Continuing operations,$ (8.35),$ 0.83,$ 1.61
23,Discontinued operations,$ 1.04,$ 0.06,
24,Basic net (loss) earnings per common share:,$ (7.31),$ 0.89,$ 1.61
25,Diluted,,,
26,Continuing operations,$ (8.35),$ 0.75,$ 1.44
27,Discontinued operations,$ 1.04,$ 0.05,
28,Net (loss) earnings per common share - diluted,$ (7.31),$ 0.80,$ 1.44
29,Dividends per common share,$ 0.52,$ 0.52,$ 0.50
30,Weighted average number of common shares outstanding:,,,
31,Basic,192.8,167.0,158.3
32,Diluted,192.8,185.4,176.7
