,"Consolidated Income Statements (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Income Statements (USD $) In Millions, except Per Share data, unless otherwise specified","Jan. 28, 2012","Jan. 29, 2011","Jan. 30, 2010"
0,Consolidated Income Statements [Abstract],,,
1,Sales,"$ 3,749.2","$ 3,437.4","$ 3,273.6"
2,Cost of sales,"(2,311.6)","(2,194.5)","(2,208.0)"
3,Gross margin,1437.6,1242.9,1065.6
4,"Selling, general and administrative expenses","(1,056.7)",(980.4),(916.5)
5,"Other operating income, net",126.5,110.0,115.4
6,"Operating income, net",507.4,372.5,264.5
7,"Interest expense, net",(5.3),(72.1),(34.0)
8,Income before income taxes,502.1,300.4,230.5
9,Income taxes,(177.7),(100.0),(73.4)
10,Net income,$ 324.4,$ 200.4,$ 157.1
11,Earnings per share - basic,$ 3.76,$ 2.34,$ 1.84
12,Earnings per share - diluted,$ 3.73,$ 2.32,$ 1.83
