,0,1,2,3,4
0,[1],"Other special project costs includes merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.",,,
1,[2],"Special project costs include merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.",,,
2,Statements of Consolidated Income - USD ($)  $ in Millions,Statements of Consolidated Income - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
3,Statements of Consolidated Income - USD ($)  $ in Millions,Statements of Consolidated Income - USD ($)  $ in Millions,"Apr. 30, 2017","Apr. 30, 2016","Apr. 30, 2015"
4,Income Statement [Abstract],,,,
5,Net sales,,"$ 7,392.3","$ 7,811.2","$ 5,692.7"
6,Cost of products sold,,4557.0,4843.4,3724.0
7,Gross Profit,,2835.3,2967.8,1968.7
8,"Selling, distribution, and administrative expenses",,1390.7,1510.3,1031.3
9,Amortization,,207.3,208.4,109.7
10,Impairment charges,,133.2,0.0,1.2
11,Other special project costs,"[1],[2]",76.9,135.9,56.6
12,Other operating income – net,,(4.3),(32.1),(2.1)
13,Operating Income,,1031.5,1145.3,772.0
14,Interest expense – net,,(163.1),(171.1),(79.9)
15,Other debt costs,,0.0,0.0,(173.3)
16,Other income – net,,10.0,3.7,4.2
17,Income Before Income Taxes,,878.4,977.9,523.0
18,Income taxes,,286.1,289.2,178.1
19,Net Income,,$ 592.3,$ 688.7,$ 344.9
20,Earnings per common share:,,,,
21,Net Income (in dollars per share),,$ 5.11,$ 5.77,$ 3.33
22,Net Income - Assuming Dilution (in dollars per share),,5.10,5.76,3.33
23,Dividends Declared per Common Share (in dollars per share),,$ 3.00,$ 2.68,$ 2.56
24,,,,,
25,"[1] Other special project costs includes merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs. [2] Special project costs include merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.","[1] Other special project costs includes merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs. [2] Special project costs include merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.","[1] Other special project costs includes merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs. [2] Special project costs include merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.","[1] Other special project costs includes merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs. [2] Special project costs include merger and integration and restructuring costs. For more information, see Note 3: Integration and Restructuring Costs.",
