,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
0,Revenues,,,
1,"Rental revenue, net","$ 678,176","$ 804,423","$ 983,557"
2,Investment income,80340,120163,195590
3,Other income,85475,128158,59848
4,Total revenues,843991,1052744,1238995
5,Expenses,,,
6,"Operating expenses, including related party expenses of $12,377 in 2021, $12,643 in 2020 and $18,106 in 2019",167153,183200,234676
7,Real estate taxes,152835,176315,190764
8,Operating lease rent,26554,29043,33188
9,"Interest expense, net of interest income",70891,116679,190521
10,Amortization of deferred financing costs,11424,11794,11653
11,Depreciation and amortization,216869,313668,272358
12,"Loan loss and other investment reserves, net of recoveries",2931,35298,0
13,Transaction related costs,3773,503,729
14,"Marketing, general and administrative",94912,91826,100875
15,Total expenses,747342,958326,1034764
16,Equity in net loss from unconsolidated joint ventures,"(55,402)","(25,195)","(34,518)"
17,Equity in net (loss) gain on sale of interest in unconsolidated joint venture/real estate,"(32,757)",2961,76181
18,Purchase price and other fair value adjustment,210070,187522,69389
19,"Gain on sale of real estate, net",287417,215506,"(16,749)"
20,Depreciable real estate reserves and impairments,"(23,794)","(60,454)","(7,047)"
21,Loss on early extinguishment of debt,"(1,551)",0,0
22,Net income,480632,414758,291487
23,Net income attributable to noncontrolling interests:,,,
24,Noncontrolling interests in the Operating Partnership,"(25,457)","(20,016)","(13,301)"
25,Net loss (income) attributable to noncontrolling interests in other partnerships,1884,"(14,940)",3159
26,Preferred unit distributions,"(7,305)","(8,747)","(10,911)"
27,Net income (loss) attributable to SL Green/SLGOP,449754,371055,270434
28,Perpetual preferred stock dividends,"(14,950)","(14,950)","(14,950)"
29,Net income attributable to SL Green common stockholders,"$ 434,804","$ 356,105","$ 255,484"
30,Basic earnings per share (in dollars per share),$ 6.57,$ 5.03,$ 3.29
31,Diluted earnings per share (in dollars per share),$ 6.50,$ 5.01,$ 3.28
32,Basic weighted average common shares outstanding (in shares),65740,70397,77057
33,Diluted weighted average common shares and common share equivalents outstanding (in shares),70769,75078,81865
