,"Consolidated Statements Of Earnings - USD ($)  $ in Thousands, shares in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements Of Earnings - USD ($)  $ in Thousands, shares in Millions","Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,Income Statement [Abstract],,,
1,Net sales,"$ 20,498,000","$ 18,449,000","$ 17,108,000"
2,Cost of sales,7440000,6871000,6140000
3,Gross profit,13058000,11578000,10968000
4,"Research, development and engineering expenses",1388000,1454000,1235000
5,"Selling, general and administrative expenses",7129000,6455000,6427000
6,"Recall charges, net",18000,"(15,000)",103000
7,Amortization of intangible assets,635000,627000,619000
8,Goodwill impairment,0,216000,0
9,Total operating expenses,9170000,8737000,8384000
10,Operating income,3888000,2841000,2584000
11,"Other income (expense), net","(215,000)","(158,000)","(303,000)"
12,Earnings before income taxes,3673000,2683000,2281000
13,Income taxes,508000,325000,287000
14,Net earnings,"$ 3,165,000","$ 2,358,000","$ 1,994,000"
15,Net earnings per share of common stock:,,,
16,Basic net earnings per share of common stock (in dollars per share),$ 8.34,$ 6.23,$ 5.29
17,Diluted net earnings per share of common stock (in dollars per share),$ 8.25,$ 6.17,$ 5.21
18,Weighted-average shares outstanding (in millions):,,,
19,Basic (in shares),379.6,378.2,377.0
20,Effect of dilutive employee stock compensation (in shares),4.1,4.0,5.3
21,Diluted (in shares),383.7,382.2,382.3
