,"Consolidated Results of Operations (USD $) In Thousands, except Share data",3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Results of Operations (USD $) In Thousands, except Share data","Jul. 02, 2011","Apr. 02, 2011","Jan. 01, 2011","Oct. 02, 2010","Jul. 03, 2010","Mar. 27, 2010","Dec. 26, 2009","Sep. 26, 2009","Jul. 02, 2011","Jul. 03, 2010","Jun. 27, 2009"
0,Consolidated Results of Operations,,,,,,,,,,,
1,Sales,"$ 10,425,703","$ 9,761,660","$ 9,384,852","$ 9,751,274","$ 10,348,477","$ 8,945,093","$ 8,868,499","$ 9,081,426","$ 39,323,489","$ 37,243,495","$ 36,853,330"
2,Cost of sales,8488776,7950800,7642908,7919857,8366609,7261721,7173612,7334067,32002341,30136009,29816999
3,Gross profit,1936927,1810860,1741944,1831417,1981868,1683372,1694887,1747359,7321148,7107486,7036331
4,Operating expenses,1376177,1383373,1304919,1325177,1397782,1251269,1232536,1250031,5389646,5131618,5164120
5,Operating income,560750,427487,437025,506240,584086,432103,462351,497328,1931502,1975868,1872211
6,Interest expense,30134,28972,28060,31101,32501,27654,31522,33800,118267,125477,116322
7,"Other expense (income), net","(4,278)","(6,957)","(1,300)","(1,684)",2924,1028,"(1,138)","(2,012)","(14,219)",802,"(14,945)"
8,Earnings before income taxes,534894,405472,410265,476823,548661,403421,431967,465540,1827454,1849589,1770834
9,Income taxes,198584,146994,152092,177754,210880,155773,163618,139335,675424,669606,714886
10,Net earnings,"$ 336,310","$ 258,478","$ 258,173","$ 299,069","$ 337,781","$ 247,648","$ 268,349","$ 326,205","$ 1,152,030","$ 1,179,983","$ 1,055,948"
11,Net earnings:,,,,,,,,,,,
12,Basic earnings per share,$ 0.57,$ 0.44,$ 0.44,$ 0.51,$ 0.57,$ 0.42,$ 0.45,$ 0.55,$ 1.96,$ 1.99,$ 1.77
13,Diluted earnings per share,$ 0.57,$ 0.44,$ 0.44,$ 0.51,$ 0.57,$ 0.42,$ 0.45,$ 0.55,$ 1.96,$ 1.99,$ 1.77
14,Average shares outstanding,,,,,,,,,586526142,592157221,595127577
15,Diluted shares outstanding,,,,,,,,,588691546,593590042,596069204
16,Dividends declared per common share,$ 0.26,$ 0.26,$ 0.26,$ 0.25,$ 0.25,$ 0.25,$ 0.25,$ 0.24,$ 1.03,$ 0.99,$ 0.94
