,Consolidated Statements of Operations - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Operations - USD ($)  $ in Millions,"Jan. 28, 2023","Jan. 29, 2022","Jan. 30, 2021"
0,Total revenue,"$ 109,120","$ 106,005","$ 93,561"
1,Cost of sales,82229,74963,66177
2,"Selling, general and administrative expenses",20658,19752,18615
3,Depreciation and amortization (exclusive of depreciation included in cost of sales),2385,2344,2230
4,Operating income,3848,8946,6539
5,Net interest expense,478,421,977
6,Net other (income) / expense,(48),(382),16
7,Earnings before income taxes,3418,8907,5546
8,Provision for income taxes,638,1961,1178
9,Net earnings,"$ 2,780","$ 6,946","$ 4,368"
10,Basic earnings per share (in usd per share),$ 6.02,$ 14.23,$ 8.72
11,Diluted earnings per share (in usd per share),$ 5.98,$ 14.10,$ 8.64
12,Weighted average common shares outstanding,,,
13,Basic (in shares),462100000,488100000,500600000
14,Diluted (in shares),464700000,492700000,505400000
15,Antidilutive shares (in shares),1100000,0,0
16,Sales,,,
17,Total revenue,"$ 107,588","$ 104,611","$ 92,400"
18,Other revenue,,,
19,Total revenue,"$ 1,532","$ 1,394","$ 1,161"
