,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Per Share data","Jul. 03, 2010","Jun. 27, 2009","Jun. 28, 2008"
0,Net sales,"$ 3,607,636","$ 3,230,468","$ 3,180,757"
1,Cost of sales,973945,907858,773654
2,Gross profit,2633691,2322610,2407103
3,"Selling, general and administrative expenses",1483520,1350697,1259974
4,Operating income,1150171,971913,1147129
5,"Interest income, net",1757,5168,47820
6,Income before provision for income taxes and discontinued operations,1151928,977081,1194949
7,Provision for income taxes,416988,353712,411910
8,Income from continuing operations,734940,623369,783039
9,"Income from discontinued operations, net of income taxes (See note on discontinued operations)",,,16
10,Net income,"$ 734,940","$ 623,369","$ 783,055"
11,Basic,,,
12,Continuing operations,$ 2.36,$ 1.93,$ 2.20
13,Discontinued operations,,,$ 0.00
14,Net income,$ 2.36,$ 1.93,$ 2.20
15,Diluted,,,
16,Continuing operations,$ 2.33,$ 1.91,$ 2.17
17,Discontinued operations,,,$ 0.00
18,Net income,$ 2.33,$ 1.91,$ 2.17
19,Shares used in computing net income per share,,,
20,Basic,311413,323714,355731
21,Diluted,315848,325620,360332
