,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions",3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2017","Sep. 30, 2017","Jun. 30, 2017","Mar. 31, 2017","Dec. 31, 2016","Sep. 30, 2016","Jun. 30, 2016","Mar. 31, 2016","Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015"
0,Income Statement [Abstract],,,,,,,,,,,
1,Revenue,"$ 3,750","$ 4,116","$ 3,693","$ 3,402","$ 3,414","$ 3,675","$ 3,273","$ 3,008","$ 14,961","$ 13,370","$ 13,000"
2,Cost of revenue (COR),,,,,,,,,5347,5113,5425
3,Gross profit,2440,2656,2374,2144,2137,2284,2007,1829,9614,8257,7575
4,Research and development (R&D),,,,,,,,,1508,1356,1267
5,"Selling, general and administrative (SG&A)",,,,,,,,,1694,1742,1728
6,Acquisition charges,79,80,79,80,80,80,79,80,318,319,329
7,Restructuring charges/other,3,1,3,4,(20),1,2,2,11,(15),(71)
8,Operating profit,1563,1788,1480,1252,1332,1408,1131,984,6083,4855,4322
9,"Other income (expense), net (OI&E)",,,,,,,,,75,155,(16)
10,Interest and debt expense,,,,,,,,,78,80,90
11,Income before income taxes,,,,,,,,,6080,4930,4216
12,Provision for income taxes,,,,,,,,,2398,1335,1230
13,Net income,$ 344,"$ 1,285","$ 1,056",$ 997,"$ 1,047","$ 1,018",$ 819,$ 711,"$ 3,682","$ 3,595","$ 2,986"
14,Earnings per common share (EPS):,,,,,,,,,,,
15,Basic (in dollars per share),$ 0.35,$ 1.29,$ 1.05,$ 0.99,$ 1.04,$ 1.00,$ 0.81,$ 0.70,$ 3.68,$ 3.54,$ 2.86
16,Diluted (in dollars per share),$ 0.34,$ 1.26,$ 1.03,$ 0.97,$ 1.02,$ 0.98,$ 0.79,$ 0.69,$ 3.61,$ 3.48,$ 2.82
17,Average shares outstanding (millions):,,,,,,,,,,,
18,Basic (in shares),,,,,,,,,991,1003,1030
19,Diluted (in shares),,,,,,,,,1012,1021,1043
20,Cash dividends declared per common share (in dollars per share),,,,,,,,,$ 2.12,$ 1.64,$ 1.40
21,Net income,$ 344,"$ 1,285","$ 1,056",$ 997,"$ 1,047","$ 1,018",$ 819,$ 711,"$ 3,682","$ 3,595","$ 2,986"
22,Income allocated to RSUs,,,,,,,,,(33),(44),(42)
23,Income allocated to common stock for diluted EPS,,,,,,,,,"$ 3,649","$ 3,551","$ 2,944"
