,"Consolidated Statements of Income - USD ($)  shares in Thousands, $ in Thousands",3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Thousands, $ in Thousands","Jan. 28, 2017","Oct. 29, 2016","Jul. 30, 2016","Apr. 30, 2016","Jan. 30, 2016","Oct. 31, 2015","Aug. 01, 2015","May 02, 2015","Jan. 28, 2017","Jan. 30, 2016","Jan. 31, 2015"
0,Income Statement [Abstract],,,,,,,,,,,
1,Net sales,"$ 1,580,574","$ 1,131,232","$ 1,069,215","$ 1,073,716","$ 1,268,295","$ 910,700","$ 876,999","$ 868,122","$ 4,854,737","$ 3,924,116","$ 3,241,369"
2,Cost of sales,1035666,704179,684377,683286,829259,575062,570524,564938,3107508,2539783,2104582
3,Gross profit,544908,427053,384838,390430,439036,335638,306475,303184,1747229,1384333,1136787
4,"Selling, general and administrative expenses",316266,280464,236380,240724,268169,218763,183937,192485,1073834,863354,712006
5,Pre-opening expenses,4412,6928,4689,2542,1381,6106,4078,3117,18571,14682,14366
6,Operating income,224230,139661,143769,147164,169486,110769,118460,107582,654824,506297,410415
7,"Interest income, net",(116),(211),(248),(315),(273),(283),(276),(311),(890),"(1,143)",(894)
8,Income before income taxes,224346,139872,144017,147479,169759,111052,118736,107893,655714,507440,411309
9,Income tax expense,84128,52310,54013,55503,61936,39982,44567,40947,245954,187432,154174
10,Net income,"$ 140,218","$ 87,562","$ 90,004","$ 91,976","$ 107,823","$ 71,070","$ 74,169","$ 66,946","$ 409,760","$ 320,008","$ 257,135"
11,Net income per common share:,,,,,,,,,,,
12,Basic,$ 2.25,$ 1.40,$ 1.44,$ 1.46,$ 1.69,$ 1.11,$ 1.16,$ 1.04,$ 6.55,$ 5.00,$ 4.00
13,Diluted,$ 2.24,$ 1.40,$ 1.43,$ 1.45,$ 1.69,$ 1.11,$ 1.15,$ 1.04,$ 6.52,$ 4.98,$ 3.98
14,Weighted average common shares outstanding:,,,,,,,,,,,
15,Basic,,,,,,,,,62519,63949,64335
16,Diluted,,,,,,,,,62851,64275,64651
