,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Millions, $ in Millions","Sep. 30, 2023","Sep. 30, 2022","Sep. 30, 2021"
0,Net revenues,"$ 32,653","$ 29,310","$ 24,105"
1,Operating Expenses,,,
2,Personnel,5831,4990,4240
3,Marketing,1341,1336,1136
4,Network and processing,736,743,730
5,Professional fees,545,505,403
6,Depreciation and amortization,943,861,804
7,General and administrative,1330,1194,985
8,Litigation provision,927,868,3
9,Total operating expenses,11653,10497,8301
10,Operating income,21000,18813,15804
11,Non-operating Income (Expense),,,
12,Interest expense,(644),(538),(513)
13,Investment income (expense) and other,681,(139),772
14,Total non-operating income (expense),37,(677),259
15,Income before income taxes,21037,18136,16063
16,Income tax provision,3764,3179,3752
17,Net income,"$ 17,273","$ 14,957","$ 12,311"
18,Class A common stock,,,
19,Earnings Per Share [Abstract],,,
20,Basic earnings per share (in dollars per share),$ 8.29,$ 7.01,$ 5.63
21,Basic weighted-average shares outstanding (in shares),1618,1651,1691
22,Diluted earnings per share (in dollars per share),$ 8.28,$ 7.00,$ 5.63
23,Diluted weighted-average shares outstanding (in shares),2085,2136,2188
24,Class B common stock,,,
25,Earnings Per Share [Abstract],,,
26,Basic earnings per share (in dollars per share),$ 13.26,$ 11.33,$ 9.14
27,Basic weighted-average shares outstanding (in shares),245,245,245
28,Diluted earnings per share (in dollars per share),$ 13.24,$ 11.31,$ 9.13
29,Diluted weighted-average shares outstanding (in shares),245,245,245
30,Class C common stock,,,
31,Earnings Per Share [Abstract],,,
32,Basic earnings per share (in dollars per share),$ 33.17,$ 28.03,$ 22.53
33,Basic weighted-average shares outstanding (in shares),10,10,10
34,Diluted earnings per share (in dollars per share),$ 33.13,$ 28.00,$ 22.51
35,Diluted weighted-average shares outstanding (in shares),10,10,10
