,"CONSOLIDATED STATEMENT OF OPERATIONS (USD $) In Millions, except Share data in Thousands, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENT OF OPERATIONS (USD $) In Millions, except Share data in Thousands, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2011"
0,Net sales,"$ 8,529","$ 7,059","$ 6,216"
1,Costs of products sold,6709,5810,5120
2,Gross margin,1820,1249,1096
3,Selling expenses,220,194,178
4,General and administrative expenses,455,436,423
5,Research and development expenses,33,32,30
6,"Charges for restructuring, closures and impairments (Note 20)",390,32,83
7,"Other operating income, net (Note 21)",(25),(180),(212)
8,Operating income,747,735,594
9,Interest income and other,58,52,47
10,"Interest expense, net of capitalized interest",(371),(348),(384)
11,Earnings from continuing operations before income taxes,434,439,257
12,Income taxes (Note 22),129,(55),62
13,Earnings from continuing operations,563,384,319
14,"Earnings from discontinued operations, net of income taxes (Note 5)",0,0,12
15,Net earnings,563,384,331
16,Net loss attributable to noncontrolling interests,0,1,0
17,Net earnings attributable to Weyerhaeuser,563,385,331
18,Dividends on preference shares,(23),0,0
19,Net earnings attributable to Weyerhaeuser common shareholders,$ 540,$ 385,$ 331
20,Basic earnings per share attributable to Weyerhaeuser common shareholders (Note 6):,,,
21,Continuing operations,$ 0.95,$ 0.71,$ 0.60
22,Discontinued operations,$ 0.00,$ 0.00,$ 0.02
23,Net earnings per share,$ 0.95,$ 0.71,$ 0.62
24,Diluted earnings per share attributable to Weyerhaeuser common shareholders (Note 6):,,,
25,Continuing operations,$ 0.95,$ 0.71,$ 0.59
26,Discontinued operations,$ 0.00,$ 0.00,$ 0.02
27,Net earnings per share,$ 0.95,$ 0.71,$ 0.61
28,Dividends paid per common share,$ 0.81,$ 0.62,$ 0.60
29,Weighted average shares outstanding (in thousands) (Note 6):,,,
30,Basic,566329,539140,537534
31,Diluted,571239,542310,539879
