,0,1,2,3,4,5,6
0,[1],"Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies.",,,,,
1,[2],"Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.",,,,,
2,"Consolidated Statement Of Income (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
3,"Consolidated Statement Of Income (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2009"
4,Revenues and other income,,,,,,
5,Sales and other operating revenue,"$ 467,029","[1],[2]","$ 370,125","[1],[2]","$ 301,500","[1],[2]"
6,Income from equity affiliates,15289,,10677,,7143,
7,Other income,4111,,2419,,1943,
8,Total revenues and other income,486429,,383221,,310586,
9,Costs and other deductions,,,,,,
10,Crude oil and product purchases,266534,,197959,,152806,
11,Production and manufacturing expenses,40268,,35792,,33027,
12,"Selling, general and administrative expenses",14983,,14683,,14735,
13,Depreciation and depletion,15583,,14760,,11917,
14,"Exploration expenses, including dry holes",2081,,2144,,2021,
15,Interest expense,247,,259,,548,
16,Sales-based taxes,33503,[2],28547,[2],25936,[2]
17,Other taxes and duties,39973,,36118,,34819,
18,Total costs and other deductions,413172,,330262,,275809,
19,Income before income taxes,73257,,52959,,34777,
20,Income taxes,31051,,21561,,15119,
21,Net income including noncontrolling interests,42206,,31398,,19658,
22,Net income attributable to noncontrolling interests,1146,,938,,378,
23,Net income attributable to ExxonMobil,"$ 41,060",,"$ 30,460",,"$ 19,280",
24,Earnings per common share (dollars),$ 8.43,,$ 6.24,,$ 3.99,
25,Earnings per common share - assuming dilution (dollars),$ 8.42,,$ 6.22,,$ 3.98,
26,,,,,,,
27,"[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009.","[1]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009. See Note 1, Summary of Accounting Policies. [2]  Sales and other operating revenue includes sales-based taxes of $33,503 million for 2011, $28,547 million for 2010 and $25,936 million for 2009."
