,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022
2,In millions,In millions,In millions,,,,Q1,Q1,Q1,,,,Q2,Q2,Q2,,,,Q3,Q3,Q3,,,,Q4,Q4,Q4
3,Debt extinguishment costs,Debt extinguishment costs,Debt extinguishment costs,,,,$,—,,,,,$,—,,,,,$,93,,,,,$,—,
4,EMEA Packaging goodwill impairment,EMEA Packaging goodwill impairment,EMEA Packaging goodwill impairment,,,,—,—,,,,,—,—,,,,,—,—,,,,,76,76,
5,Foreign currency cumulative translation loss related to sale of equity method investment,Foreign currency cumulative translation loss related to sale of equity method investment,Foreign currency cumulative translation loss related to sale of equity method investment,,,,—,—,,,,,—,—,,,,,—,—,,,,,10,10,
6,Timber monetization settlement interest,Timber monetization settlement interest,Timber monetization settlement interest,,,,—,—,,,,,—,—,,,,,55,55,,,,,3,3,
7,Litigation reserve adjustments,Litigation reserve adjustments,Litigation reserve adjustments,,,,—,—,,,,,—,—,,,,,(15),(15),,,,,11,11,
8,Environmental remediation reserve adjustment,Environmental remediation reserve adjustment,Environmental remediation reserve adjustment,,,,—,—,,,,,15,15,,,,,—,—,,,,,48,48,
9,Sylvamo investment - fair value adjustment,Sylvamo investment - fair value adjustment,Sylvamo investment - fair value adjustment,,,,(46),(46),,,,,(3),(3),,,,,(16),(16),,,,,—,—,
10,Other items,Other items,Other items,,,,—,—,,,,,6,6,,,,,—,—,,,,,(4),(4),
11,Non-operating pension expense,Non-operating pension expense,Non-operating pension expense,,,,(49),(49),,,,,(47),(47),,,,,(48),(48),,,,,(48),(48),
12,Total,Total,Total,,,,$,(95),,,,,$,(29),,,,,$,69,,,,,$,96,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,
