,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,2018,2018,2018,2018.0,2018,2018,2018,2018.0,2018,2018,2018,2018.0,2018,2018,2018
3,In millions,,Q1,Q1,Q1,,Q2,Q2,Q2,,Q3,Q3,Q3,,Q4,Q4,Q4
4,State income tax legislative changes,,$,—,,,$,9,,,$,—,,,$,—,
5,Tax benefit of Tax Cuts and Jobs Act,,—,—,,,—,—,,,(36,(36,),,—,—,
6,Internal investment restructuring,,—,—,,,—,—,,,—,—,,,19,19,
7,Foreign tax audits,,—,—,,,—,—,,,—,—,,,25,25,
8,Tax impact of other special items,,(9,(9,),,(13,(13,),,(46,(46,),,3,3,
9,Tax impact of non-operating pension expense,,(1,(1,),,(9,(9,),,(6,(6,),,(107,(107,)
10,Total,,$,(10,),,$,(13,),,$,(88,),,$,(60,)
