,"Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2008","Dec. 31, 2009.1","Dec. 31, 2008.1","Dec. 31, 2007","Dec. 31, 2007.1"
Outstanding Common Stock Options Having No Dilutive Effect (in shares),5,3,0,9,,,,5,1,1,1,1166,26789,29403,66189,30579,66189,30579,6406,6406
Average Number of Common Shares Outstanding Plus Dilutive Common Stock Options (in shares),1749,1764,1789,1786,1781,1770,1749,1483,1506,1527,1574,,,,,,,,,
Dilutive Common Stock Options (in shares),9,11,14,13,13,12,9,6,10,11,16,,,,,,,,,
Average Number of Common Shares Outstanding Used for Basic Earnings Per Common Share (in shares),1740,1753,1775,1773,1768,1758,1740,1477,1496,1516,1558,1575378,1557643,1546400,1546983,1545355,1546983,1545355,1543082,1543082
Diluted earnings per common share (in dollars per share),3.26,3.91,3.94,,,,,,,,,,,,,,,,,
Basic earnings per common share (in dollars per share),3.28,3.94,3.97,,,,,,,,,,,,,,,,,
Net Earnings,5723,6933,7071,4495,3687,2368,477,1400,4423,2284,2576,5962920,4728449,4626172,5745838,4880719,5745838,4880719,3606314,3606314
Taxes on Earnings,941,1373,1140,,,,,,,,,299694,470193,1086662,1447936,,,,,
Earnings before Taxes,6664,8306,8211,,,,,,,,,,,,,,,,,
"Other (income) expense, net",(479),(321),(277),(103),(191),(139),"(1,251)",945,(281),14,(32),"(34,206)",158632,"(62,011)","(1,375,494)","(454,939)","(1,375,494)","(454,939)",135526,135526
Net foreign exchange (gain) loss,41,2,1,(8),7,28,(34),495,(93),(24),50,"(8,044)","(50,271)","(10,924)",35584,84244,35584,84244,14997,14997
Interest income,(385),(183),(43),(46),(94),(105),(124),(99),(105),(77),(67),(59),(65),,,,,,,
